row,generic_key,drug_brand_name,alias
1,actemra,actemra,"acte,ra sq"
2,actemra,actemra,actemera
3,actemra,actemra,actemera (sc)
4,actemra,actemra,actemera sq
5,actemra,actemra,actemra
6,actemra,actemra,actemra (sc)
7,actemra,actemra,actemra 162mg/0.9ml sc
8,actemra,actemra,actemra injectable
9,actemra,actemra,actemra injection
10,actemra,actemra,actemra iv
11,actemra,actemra,actemra pfs
12,actemra,actemra,actemra pre-filled syringe
13,actemra,actemra,actemra sc
14,actemra,actemra,actemra sq
15,actemra,actemra,actemra sub-q
16,actemra,actemra,actemra subcu
17,actemra,actemra,actemra(sc)
18,actemra,actemra,actemrasq
19,actemra,actemra,acterma sq
20,actemra,actemra,inj actemra
21,actemra,actemra,injctable actemra
22,actemra,actemra,injectable actemra
23,actemra,actemra,tocilizumab
24,actemra,actemra,tocilizumab (actemra)
25,actemra,actemra,aactmera
26,actemra,actemra,acemra
27,actemra,actemra,acetemra
28,actemra,actemra,acetmra
29,actemra,actemra,actdemra
30,actemra,actemra,actema
31,actemra,actemra,actembra
32,actemra,actemra,actemera
33,actemra,actemra,actemera (iv)
34,actemra,actemra,actemera (sc)
35,actemra,actemra,actemera iv
36,actemra,actemra,actemera(sc)
37,actemra,actemra,actemia
38,actemra,actemra,actemr
39,actemra,actemra,actemra
40,actemra,actemra,actemra  sq
41,actemra,actemra,actemra (compact study)
42,actemra,actemra,actemra (iv)
43,actemra,actemra,actemra (sc)
44,actemra,actemra,actemra (tocilizumab)
45,actemra,actemra,actemra iv
46,actemra,actemra,actemra sc
47,actemra,actemra,actemra sq
48,actemra,actemra,actemra sub-q
49,actemra,actemra,actemra(iv)
50,actemra,actemra,actemra(sc)
51,actemra,actemra,actemrea
52,actemra,actemra,actenra
53,actemra,actemra,acterma
54,actemra,actemra,actermra
55,actemra,actemra,actermra sq
56,actemra,actemra,actmera
57,actemra,actemra,actrema
58,actemra,actemra,actrmra
59,actemra,actemra,aetemra
60,actemra,actemra,injectable actemra
61,actemra,actemra,iv actemra
62,actemra,actemra,sq actemra
63,actemra,actemra,tocilizimab
64,actemra,actemra,tocilizumab
65,actemra,actemra,tocilizumab (actemra)
66,actemra,actemra,tocizumab
67,amjevita,amjevita,amgevita
68,amjevita,amjevita,amjevita
69,amjevita,amjevita,hadlima
70,arava,arava,arava
71,arava,arava,leflunomide
72,arava,arava,leflunomide (arava)
73,arava,arava,aarava
74,arava,arava,arava
75,arava,arava,arrava
76,arava,arava,avara
77,arava,arava,lefluemonide
78,arava,arava,leflunamide
79,arava,arava,leflunomide
80,arava,arava,leflunomide (arava)
81,arava,arava,lefluomide
82,arava,arava,lefunomide
83,arava,arava,leuflodimide
84,arava,arava,lrflunomide
85,avsola,avsola,ausola
86,avsola,avsola,avosla
87,avsola,avsola,avsol
88,avsola,avsola,avsola
89,avsola,avsola,infleximab-axxq
90,avsola,avsola,avsola
91,avsola,avsola,avsola (remicade)
92,avsola,avsola,avsola remicade
93,azulfidine,azulfidine,azulfadine
94,azulfidine,azulfidine,azulfidine
95,azulfidine,azulfidine,azulfiodine
96,azulfidine,azulfidine,ssz
97,azulfidine,azulfidine,sulfasalazine
98,azulfidine,azulfidine,sulfasalzine
99,azulfidine,azulfidine,azulfadine
100,azulfidine,azulfidine,azulfidine
101,azulfidine,azulfidine,azulfidine en tab
102,azulfidine,azulfidine,saulfasalazine
103,azulfidine,azulfidine,sulfasalazine
104,azulfidine,azulfidine,sulfasaline
105,azulfidine,azulfidine,sulfasalsine
106,azulfidine,azulfidine,sulfasalzine
107,azulfidine,azulfidine,sulfazine
108,cimzia,cimzia,cimzia
109,cimzia,cimzia,cimzia sq
110,cimzia,cimzia,certolizumab
111,cimzia,cimzia,certolizumab (cimzia)
112,cimzia,cimzia,certolizumab pegol
113,cimzia,cimzia,cimia
114,cimzia,cimzia,cimizia
115,cimzia,cimzia,cimza
116,cimzia,cimzia,cimzia
117,cimzia,cimzia,cimzia (certolizumab pegol)
118,cimzia,cimzia,cimzia (via investigational study)
119,cimzia,cimzia,cimzia lyo
120,cimzia,cimzia,cimzia sc
121,cimzia,cimzia,cimzia sq
122,cimzia,cimzia,cinzia
123,cimzia,cimzia,pf cimzia
124,enbrel,enbrel,diet enbrel
125,enbrel,enbrel,enbrel
126,enbrel,enbrel,enbrel lite
127,enbrel,enbrel,entanercept
128,enbrel,enbrel,etancercept
129,enbrel,enbrel,etanercept
130,enbrel,enbrel,ebrel
131,enbrel,enbrel,embrel
132,enbrel,enbrel,embril
133,enbrel,enbrel,enbel
134,enbrel,enbrel,enberel
135,enbrel,enbrel,enberl
136,enbrel,enbrel,enbre
137,enbrel,enbrel,enbreel
138,enbrel,enbrel,enbrel
139,enbrel,enbrel,enbrel (etanercept)
140,enbrel,enbrel,enbrel (sc)
141,enbrel,enbrel,enbrel sureclick
142,enbrel,enbrel,enbrelenbrel
143,enbrel,enbrel,enbrl
144,enbrel,enbrel,enbrle
145,enbrel,enbrel,enbrol
146,enbrel,enbrel,endrel
147,enbrel,enbrel,enrbel
148,enbrel,enbrel,enre;
149,enbrel,enbrel,enrel
150,enbrel,enbrel,entanercept
151,enbrel,enbrel,enteracept
152,enbrel,enbrel,etancercept
153,enbrel,enbrel,etanecept
154,enbrel,enbrel,etanercept
155,enbrel,enbrel,etanercept (enbrel)
156,enbrel,enbrel,etanercet
157,enbrel,enbrel,eubrel
158,humira,humira,adalimimab
159,humira,humira,adalimumab
160,humira,humira,adalimumab (humira)
161,humira,humira,diet humira
162,humira,humira,humira
163,humira,humira,humira lite
164,humira,humira,adalimans
165,humira,humira,adalimumab
166,humira,humira,adalimumab (humira)
167,humira,humira,adalumumab
168,humira,humira,huira
169,humira,humira,humera
170,humira,humira,humia
171,humira,humira,humin
172,humira,humira,humir
173,humira,humira,humira
174,humira,humira,humira (adalimumab)
175,humira,humira,humira (clinical trial)
176,humira,humira,humira (investigation study)
177,humira,humira,humira (investigational study)
178,humira,humira,humira (investigational)
179,humira,humira,humira (ivestigational study)
180,humira,humira,humiro
181,humira,humira,humnira
182,humira,humira,humra
183,humira,humira,humria
184,humira,humira,hunira
185,humira,humira,hunmira
186,humira,humira,hurmira
187,humira,humira,investigation agent (humira)
188,humira,humira,investigational agent (humira)
189,humira,humira,investigational drug open label humira
190,humira,humira,umira
191,imuran,imuran,arathioprine
192,imuran,imuran,aza
193,imuran,imuran,azahioprine
194,imuran,imuran,azarthroprine
195,imuran,imuran,azatheopine
196,imuran,imuran,azatheoprine
197,imuran,imuran,azatheprine
198,imuran,imuran,azathiaprine
199,imuran,imuran,azathiopan
200,imuran,imuran,azathiopine
201,imuran,imuran,azathioprene
202,imuran,imuran,azathioprim
203,imuran,imuran,azathioprin
204,imuran,imuran,azathioprine
205,imuran,imuran,azathioprine/imuran
206,imuran,imuran,azathioprione
207,imuran,imuran,azathioprire
208,imuran,imuran,azathiorine
209,imuran,imuran,azathiprine
210,imuran,imuran,azathiprone
211,imuran,imuran,azathiquine
212,imuran,imuran,azathloprine (imuran)
213,imuran,imuran,azathoprene
214,imuran,imuran,azathoprine
215,imuran,imuran,azathropine
216,imuran,imuran,azathroprene
217,imuran,imuran,azathroprin
218,imuran,imuran,azathroprine
219,imuran,imuran,azathyoprine
220,imuran,imuran,azatiroprine
221,imuran,imuran,azatthioprine
222,imuran,imuran,azayhiophine
223,imuran,imuran,azaythioprine
224,imuran,imuran,aziathioprine
225,imuran,imuran,aziathoprine
226,imuran,imuran,azithioprine
227,imuran,imuran,azothiapine
228,imuran,imuran,azothiaprine
229,imuran,imuran,azothiopain
230,imuran,imuran,azothiopine
231,imuran,imuran,azothioprine
232,imuran,imuran,azothioprone
233,imuran,imuran,azothoprine
234,imuran,imuran,azothripine
235,imuran,imuran,azothropin
236,imuran,imuran,azthioprine
237,imuran,imuran,imaran
238,imuran,imuran,immuran
239,imuran,imuran,immuren
240,imuran,imuran,imran
241,imuran,imuran,imruan
242,imuran,imuran,imulon
243,imuran,imuran,imunan
244,imuran,imuran,imunran
245,imuran,imuran,imura
246,imuran,imuran,imuram
247,imuran,imuran,imuran
248,imuran,imuran,imuran (azathioprine)
249,imuran,imuran,imuran 50mg
250,imuran,imuran,imuran azathiopinine
251,imuran,imuran,imuran/azathioprine
252,imuran,imuran,imuranh
253,imuran,imuran,imurn
254,imuran,imuran,imuron
255,imuran,imuran,inuran
256,imuran,imuran,iruran
257,imuran,imuran,lmuran
258,imuran,imuran,omuran
259,imuran,imuran,azathioprine
260,imuran,imuran,azathiprine
261,imuran,imuran,imura
262,imuran,imuran,imuran
263,rinvoq,rinvoq,her rinvoq
264,rinvoq,rinvoq,invoq
265,rinvoq,rinvoq,rimvoq
266,rinvoq,rinvoq,rin voq
267,rinvoq,rinvoq,rinnvoq
268,rinvoq,rinvoq,rinoq
269,rinvoq,rinvoq,rinovoq
270,rinvoq,rinvoq,rinqor
271,rinvoq,rinvoq,rinuoq
272,rinvoq,rinvoq,rinvo
273,rinvoq,rinvoq,rinvog
274,rinvoq,rinvoq,rinvoq
275,rinvoq,rinvoq,rinvoq (upa)
276,rinvoq,rinvoq,rinvoq (upadacitinib)
277,rinvoq,rinvoq,rinvoq (upadactinib)
278,rinvoq,rinvoq,rinvoq er
279,rinvoq,rinvoq,rinvoq extended release
280,rinvoq,rinvoq,rinvoq ub
281,rinvoq,rinvoq,rinvoq uk
282,rinvoq,rinvoq,rinvoq xr
283,rinvoq,rinvoq,rinvoq xr (upadacitinib)
284,rinvoq,rinvoq,rinvoq( upadacitinib)
285,rinvoq,rinvoq,rinvoq(upadacitinib)
286,rinvoq,rinvoq,rinvoq`
287,rinvoq,rinvoq,rinvoqu
288,rinvoq,rinvoq,rinvow
289,rinvoq,rinvoq,rinvowq
290,rinvoq,rinvoq,rinvoy
291,rinvoq,rinvoq,rinvpq
292,rinvoq,rinvoq,rinvq
293,rinvoq,rinvoq,rinvvoq
294,rinvoq,rinvoq,rivnoq
295,rinvoq,rinvoq,rivoq
296,rinvoq,rinvoq,rnvoq
297,rinvoq,rinvoq,ronvoq
298,rinvoq,rinvoq,the rinvoq
299,rinvoq,rinvoq,upadacitinib
300,rinvoq,rinvoq,upadacitinib (rinvoq
301,rinvoq,rinvoq,upadacitinib (rinvoq er)
302,rinvoq,rinvoq,upadacitinib (rinvoq)
303,rinvoq,rinvoq,upadacitinib(rinvoq)
304,rinvoq,rinvoq,upadacitnib ( rinvoq)
305,rinvoq,rinvoq,upadaitinib
306,rinvoq,rinvoq,upadautimb
307,rinvoq,rinvoq,upadicitinib (rinvoq)
308,rinvoq,rinvoq,updacitinib
309,rinvoq,rinvoq,updadacitinib (rinvoq)
310,rinvoq,rinvoq,clinical trial- upadacitinib
311,rinvoq,rinvoq,rinvop
312,rinvoq,rinvoq,rinvoq
313,rinvoq,rinvoq,rinvoq (upadacitinib)
314,rinvoq,rinvoq,rinvow
315,rinvoq,rinvoq,rivnoq
316,rinvoq,rinvoq,rivoq
317,rinvoq,rinvoq,upadacintinib
318,rinvoq,rinvoq,upadacitinib
319,rinvoq,rinvoq,upadacitinib (rinvoq)
320,rinvoq,rinvoq,upadactinib
321,rituxan,rituxan,rituan
322,rituxan,rituxan,rituxan
323,rituxan,rituxan,rituximab (rituxan)
324,rituxan,rituxan,rituxin
325,rituxan,rituxan,retuxan
326,rituxan,rituxan,rit uxan
327,rituxan,rituxan,ritaxon
328,rituxan,rituxan,ritiuxan
329,rituxan,rituxan,ritoxan
330,rituxan,rituxan,rituan
331,rituxan,rituxan,rituxan
332,rituxan,rituxan,rituxan (drug study)
333,rituxan,rituxan,rituxan (rituximab)
334,rituxan,rituxan,rituxen
335,rituxan,rituxan,rituximab (rituxan)
336,rituxan,rituxan,rituxin
337,rituxan,rituxan,rituzan
338,rituxan,rituxan,ritxan
339,rituxan,rituxan,riutxan
340,rituxan,rituxan,rixtan
341,rituxan,rituxan,rtuxan
342,rituxan,rituxan,rtx
343,sirukumab,sirukumab,sirukumab
344,sirukumab,sirukumab,cnt136 sirukumab
345,sirukumab,sirukumab,sirikumab
346,sirukumab,sirukumab,sirukumab
